%t	pwall	u1	v1	p1
0.0246	99166.061609375	52.9720890835667	-3.33491193080982	100515.496957654
0.02462	99111.261453125	49.4519379841038	0.549817754191312	100285.242117829
0.02464	99057.8546796875	47.1821237289653	4.24151635110736	100130.872492997
0.02466	99029.9683203125	46.0997745354908	7.32837380418246	100081.194549136
0.02468	99038.7587890625	45.9535201073381	9.56296903271252	100145.032679501
0.0247	99078.6245	46.4635129579551	10.836773628396	100310.034124474
0.02472	99132.4053359375	47.5218487505136	11.1067199744099	100536.614355018
0.02474	99182.7167421875	49.1782402310186	10.3853329182212	100788.571842158
0.02476	99225.257	51.4275342221013	8.75544236523851	101031.388463174
0.02478	99242.5854453125	54.0160524103139	6.38978247918344	101241.034619255
0.0248	99223.3399296875	56.4206275268067	3.5621961226204	101391.96059182
0.02482	99178.76103125	58.027640220889	0.610460680281485	101459.465484614
0.02484	99126.485796875	58.2887194520374	-2.07305270623144	101433.825735587
0.02486	99080.4854609375	56.7515988659077	-4.07928649809484	101314.952480967
0.02488	99040.002546875	53.0477454475599	-5.00885738426309	101098.633718524
0.0249	98994.1144296875	46.9223058689343	-4.5410147391108	100790.489571116
0.02492	98940.5673828125	38.3104658998017	-2.48547725831752	100391.842755492
0.02494	98887.9741953125	27.4476416440857	1.20455799813523	99910.1501916403
0.02496	98849.2587265625	15.1764877407762	6.36147354265411	99366.4757260193
0.02498	98850.3061015625	3.45917819395599	12.5927304155705	98831.813340262
0.025	98913.5039609375	-4.94876475575399	19.2789657801845	98423.9610025393
0.02502	99057.359046875	-8.84391823584085	25.7631347783712	98232.7193302233
0.02504	99284.3869296875	-9.90270120643498	31.5646087076989	98270.4212623085
0.02506	99573.640109375	-9.93206590593767	36.3968698145951	98509.364305558
0.02508	99902.8431640625	-8.9364760618414	40.0718706686292	98908.7576197198
0.0251	100242.127203125	-6.47206375866615	42.4577487977613	99417.460080111
0.02512	100561.29603125	-2.72011946050949	43.4686850237625	99972.6144157342
0.02514	100841.571710938	1.81958544998555	43.0619604232289	100518.512710401
0.02516	101058.640179687	6.7633553280547	41.2645283512366	101008.284224035
0.02518	101191.469773438	11.9646541188901	38.1168485811008	101407.263169116
0.0252	101233.888460938	17.3718474812694	33.7035692216308	101700.144025487
0.02522	101207.769546875	22.9165636206089	28.1676068909862	101893.4870929
0.02524	101138.92334375	28.4928302675429	21.7424725106173	102005.766213822
0.02526	101054.142078125	34.0091698239719	14.7047900500112	102051.810154203
0.02528	100976.178101563	39.4470930324779	7.32462411415219	102046.89295642
0.0253	100924.707101562	44.8356206093656	-0.14735195421708	102006.22597221
0.02532	100920.685929688	50.220524496404	-7.49243860074282	101944.632799567
0.02534	100990.598210938	55.6057184717744	-14.4966195477861	101880.719853448
0.02536	101136.108523438	60.9542339160986	-20.9221403525611	101833.045594737
0.02538	101357.011132813	66.1965934975036	-26.53241430074	101812.297657849
0.0254	101647.844726563	71.2577662978139	-31.1384911648507	101822.309775429
0.02542	101973.241695313	76.084521206534	-34.6250030053865	101859.802126201
0.02544	102282.712953125	80.6107708037156	-36.9688582966052	101910.649178628
0.02546	102536.336679688	84.768379412946	-38.2389830779485	101943.829590169
0.02548	102688.21540625	88.5060596098414	-38.6105506362373	101958.238621077
0.0255	102775.605757813	91.7536241073593	-38.2955257462484	101933.703713671
0.02552	102778.616960937	94.4359646071958	-37.5554266006094	101891.928841438
0.02554	102712.52946875	96.5111902044365	-36.6487100374332	101844.806682872
0.02556	102586.872523438	98.0911140584653	-35.8635103314186	101781.669925638
0.02558	102414.5886875	99.4608800520808	-35.4185232144447	101689.247031236
0.0256	102218.224578125	101.026634097804	-35.4780471577249	101561.564549943
0.02562	102018.49390625	103.145375302249	-36.1356945326323	101398.405064932
0.02564	101797.712867188	105.804584099811	-37.4359728400622	101226.57892862
0.02566	101601.732171875	108.075662510722	-39.2698841287174	101123.626847775
0.02568	101383.737898437	109.053966702735	-41.3621621012097	101060.368828763
0.0257	101102.3774375	108.354468710184	-43.2102567591071	101043.389765464
0.02572	100830.761304687	105.859876945978	-44.3161399960556	100995.269554027
0.02574	100506.065703125	101.958304298884	-44.1181654177266	100867.346768065
0.02576	100189.038382812	97.164713119292	-42.2332806918745	100683.014604404
0.02578	99998.5844609375	92.1108471927016	-38.7109263494474	100536.972567377
0.0258	100094.8775	86.9680471058914	-33.6989123766808	100501.263441654
0.02582	99861.368984375	82.6279369310068	-27.7218489304206	100371.904284936
0.02584	99505.037046875	79.6515667565834	-21.5807209840767	100139.580465242
0.02586	99274.0253984375	78.2888577956166	-16.2953334487923	99759.1660885474
0.02588	99122.2869453125	78.15040911791	-11.7398725059669	99569.839488313
0.0259	99033.232015625	78.800432284485	-8.42395881414284	99525.4991374351
0.02592	98960.7480546875	80.0991687380371	-6.71504678772874	99553.4329064503
0.02594	98934.9190390625	82.0158575031922	-6.64896988836484	99667.898892226
0.02596	98986.2778203125	83.9770273510337	-8.04517341119141	99838.5573900638
0.02598	98916.7396015625	84.3314869587588	-10.4686097862443	99988.3906157231
0.026	98663.90140625	82.5104008497107	-13.1864581201436	100031.475184795
0.02602	98392.9398828125	79.2914384724888	-15.3535933181453	99899.4950920298
0.02604	98187.102640625	75.6754638826414	-16.3024668009748	99586.5463939357
0.02606	98007.552640625	72.6169491084561	-15.8173586680863	99182.6055691142
0.02608	97796.4972265625	70.315212445771	-14.02291071194	98774.7806642295
